#System,Teff-K(1),Teff-K(2),Teff-K(3),FeH-dex(1),FeH-dex(2),FeH-dex(3),M1-Msun(1),M1-Msun(2),M1-Msun(3),R1-Rsun(1),R1-Rsun(2),R1-Rsun(3),logg1-cgs(1),logg1-cgs(2),logg1-cgs(3),rho1-rhosun(1),rho1-rhosun(2),rho1-rhosun(3),Porb,eccentricity(1),eccentricity(2),eccentricity(3),sep-AU(1),sep-AU(2),sep-AU(3),M2-Mjup(1),M2-Mjup(2),M2-Mjup(3),R2-Rjup(1),R2-Rjup(2),R2-Rjup(3),g2-ms2(1),g2-ms2(2),g2-ms2(3),rho2-rhoJup(1),rho2-rhoJup(2),rho2-rhoJup(3),Teq-K(1),Teq-K(2),Teq-K(3),Discovery-ref,Recent-ref
Kepler-117c,6150,110,110,-0.04,0.1,0.1,1.129,0.013,0.023,1.606,0.049,0.049,4.102,0.029,0.029,0.291,0.01,0.018,50.79,0.0323,0.0033,0.0033,0.2804,0.0092,0.0028,1.84,0.18,0.18,1.101,0.035,0.035,37.5,3.7,3.4,1.31,0.14,0.14,704,15,15,2014ApJ...784...45R,2015A+A...573A.124B
Kepler-129b,5770,83,83,0.29,0.1,0.1,1.178,0.021,0.03,1.653,0.009,0.012,4.086,0.06,0.06,0.37,0.015,0.015,15.792,-1,-1,-1,0.13,-1,-1,0,0.063,0,0.214,0.004,0.004,-1,-1,-1,-1,-1,-1,-1,-1,-1,2014ApJ...784...45R,arXiv:2105.03446
Kepler-129c,5770,83,83,0.29,0.1,0.1,1.178,0.021,0.03,1.653,0.009,0.012,4.086,0.06,0.06,0.37,0.015,0.015,82.2,-1,-1,-1,0.39,-1,-1,0.135,0.041,0.038,0.225,0.006,0.006,-1,-1,-1,11.2,3.2,3.2,-1,-1,-1,2014ApJ...784...45R,arXiv:2105.03446
Kepler-131b,5685,74,74,0.12,0.07,0.07,1.02,0.06,0.06,1.03,0.1,0.1,4.417,0.08,0.08,1.02,0.15,0.15,16.092,0,-1,-1,-1,-1,-1,0.051,0.011,0.011,0.215,0.018,0.018,-1,-1,-1,4.5,1.5,1.5,-1,-1,-1,2014ApJS..210...20M,2014ApJS..210...20M
Kepler-131c,5685,74,74,0.12,0.07,0.07,1.02,0.06,0.06,1.03,0.1,0.1,4.417,0.08,0.08,1.02,0.15,0.15,25.517,0,-1,-1,-1,-1,-1,0,0.063,0,0.075,0.006,0.006,-1,-1,-1,-1,-1,-1,-1,-1,-1,2014ApJS..210...20M,2014ApJS..210...20M
Kepler-138b,3933,37,37,-0.127,0.086,0.086,0.551,0.068,0.068,0.582,0.045,0.045,4.647,0.059,0.059,2.78,0.57,0.47,10.312,0.006,0.0082,0.0044,0.076,0.0033,0.0033,0.0006,0.0002,0.0002,0.0625,0.0059,0.0059,3.8,1.1,1,2.28,0.75,0.66,-1,-1,-1,2014ApJ...784...45R,arXiv:1805.12520
Kepler-138c,3933,37,37,-0.127,0.086,0.086,0.551,0.068,0.068,0.582,0.045,0.045,4.647,0.059,0.059,2.78,0.57,0.47,13.781,0.011,0.0069,0.0036,0.0922,0.004,0.004,0.0164,0.0038,0.0038,0.149,0.013,0.013,18.4,4.3,4.1,4.6,1.4,1.1,-1,-1,-1,2014ApJ...784...28K,arXiv:1805.12520
Kepler-138d,3933,37,37,-0.127,0.086,0.086,0.551,0.068,0.068,0.582,0.045,0.045,4.647,0.059,0.059,2.78,0.57,0.47,23.089,0.027,0.005,0.005,0.1301,0.0056,0.0056,0.0037,0.0009,0.0009,0.15,0.013,0.013,4.1,1,1,1.03,0.33,0.26,-1,-1,-1,2014ApJ...784...28K,arXiv:1805.12520
Kepler-150b,5560,100,100,-0.02,0.1,0.1,0.936,-1,-1,0.939,0.136,0.136,4.466,0.15,0.15,1.596,0.463,0.463,3.428,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.112,0.017,0.017,-1,-1,-1,-1,-1,-1,-1,-1,-1,2014ApJ...784...45R,2014ApJ...784...45R
Kepler-150c,5560,100,100,-0.02,0.1,0.1,0.936,-1,-1,0.939,0.136,0.136,4.466,0.15,0.15,1.596,0.463,0.463,7.382,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.329,0.053,0.053,-1,-1,-1,-1,-1,-1,-1,-1,-1,2014ApJ...784...45R,2014ApJ...784...45R
Kepler-150d,5560,100,100,-0.02,0.1,0.1,0.936,-1,-1,0.939,0.136,0.136,4.466,0.15,0.15,1.596,0.463,0.463,12.561,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.249,0.037,0.037,-1,-1,-1,-1,-1,-1,-1,-1,-1,2014ApJ...784...45R,2014ApJ...784...45R
Kepler-150e,5560,100,100,-0.02,0.1,0.1,0.936,-1,-1,0.939,0.136,0.136,4.466,0.15,0.15,1.596,0.463,0.463,30.827,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.278,0.049,0.049,-1,-1,-1,-1,-1,-1,-1,-1,-1,2014ApJ...784...45R,2014ApJ...784...45R
Kepler-150f,5560,100,100,-0.02,0.1,0.1,0.936,-1,-1,0.939,0.136,0.136,4.466,0.15,0.15,1.596,0.463,0.463,637.209,-1,-1,-1,1.24,0.29,0.45,-1,-1,-1,0.325,0.046,0.035,-1,-1,-1,-1,-1,-1,-1,-1,-1,2017AJ....153..180S,2017AJ....153..180S
Kepler-160b,5471,115,37,-0.36,0.5,0.5,0.922,-1,-1,1.118,0.015,0.045,4.51,0.3,0.3,1.88,0.68,0.68,4.309,-1,-1,-1,0.0551,0.0019,0.0037,-1,-1,-1,0.153,0.005,0.005,-1,-1,-1,-1,-1,-1,-1,-1,-1,2014ApJ...784...45R,arXiv:2006.02123
Kepler-160c,5471,115,37,-0.36,0.5,0.5,0.922,-1,-1,1.118,0.015,0.045,4.51,0.3,0.3,1.88,0.68,0.68,13.699,-1,-1,-1,0.1192,0.004,0.008,-1,-1,-1,0.335,0.021,0.008,-1,-1,-1,-1,-1,-1,-1,-1,-1,2014ApJ...784...45R,arXiv:2006.02123
Kepler-167b,4890,50,50,-0.03,0.08,0.08,0.77,0.024,0.028,0.726,0.018,0.015,4.61,0.1,0.1,2.04,0.15,0.28,4.393,0.0483,0.0017,0.0025,0,-1,-1,-1,-1,-1,0.1441,0.0042,0.0039,-1,-1,-1,-1,-1,-1,914,26,16,2014ApJ...784...45R,2016ApJ...820..112K
Kepler-167c,4890,50,50,-0.03,0.08,0.08,0.77,0.024,0.028,0.726,0.018,0.015,4.61,0.1,0.1,2.04,0.15,0.28,7.406,0.0684,0.0024,0.0035,0,-1,-1,-1,-1,-1,0.1381,0.0045,0.0042,-1,-1,-1,-1,-1,-1,768,21,14,2014ApJ...784...45R,2016ApJ...820..112K
Kepler-167d,4890,50,50,-0.03,0.08,0.08,0.77,0.024,0.028,0.726,0.018,0.015,4.61,0.1,0.1,2.04,0.15,0.28,21.804,0.1405,0.005,0.0071,0,0.12,0,-1,-1,-1,0.1065,0.0044,0.0032,-1,-1,-1,-1,-1,-1,536,14,10,2016ApJ...820..112K,2016ApJ...820..112K
Kepler-167e,4890,50,50,-0.03,0.08,0.08,0.77,0.024,0.028,0.726,0.018,0.015,4.61,0.1,0.1,2.04,0.15,0.28,1071.232,0.062,0.104,0.043,1.89,0.058,0.067,-1,-1,-1,0.906,0.021,0.021,-1,-1,-1,-1,-1,-1,131,2,3,2016ApJ...820..112K,2016ApJ...820..112K
Kepler-186b,3852,64,64,-0.08,0.1,0.1,0.478,0.055,0.055,0.472,0.052,0.052,4.77,0.069,0.069,3.49,0.63,0.75,3.887,-1,-1,-1,0.0343,0.0046,0.0046,-1,-1,-1,0.095,0.011,0.011,-1,-1,-1,-1,-1,-1,-1,-1,-1,2014Sci...344..277Q,2014Sci...344..277Q
Kepler-186c,3852,64,64,-0.08,0.1,0.1,0.478,0.055,0.055,0.472,0.052,0.052,4.77,0.069,0.069,3.49,0.63,0.75,7.267,-1,-1,-1,0.052,0.007,0.007,-1,-1,-1,0.112,0.012,0.012,-1,-1,-1,-1,-1,-1,-1,-1,-1,2014Sci...344..277Q,2014Sci...344..277Q
Kepler-186d,3852,64,64,-0.08,0.1,0.1,0.478,0.055,0.055,0.472,0.052,0.052,4.77,0.069,0.069,3.49,0.63,0.75,13.343,-1,-1,-1,0.0781,0.01,0.01,-1,-1,-1,0.125,0.014,0.014,-1,-1,-1,-1,-1,-1,-1,-1,-1,2014Sci...344..277Q,2014Sci...344..277Q
Kepler-186e,3852,64,64,-0.08,0.1,0.1,0.478,0.055,0.055,0.472,0.052,0.052,4.77,0.069,0.069,3.49,0.63,0.75,22.408,-1,-1,-1,0.11,0.015,0.015,-1,-1,-1,0.113,0.013,0.012,-1,-1,-1,-1,-1,-1,-1,-1,-1,2014Sci...344..277Q,2014Sci...344..277Q
Kepler-186f,3852,64,64,-0.08,0.1,0.1,0.478,0.055,0.055,0.472,0.052,0.052,4.77,0.069,0.069,3.49,0.63,0.75,129.946,0.04,0.07,0.04,0.356,0.048,0.048,-1,-1,-1,0.104,0.007,0.007,-1,-1,-1,-1,-1,-1,-1,-1,-1,2014Sci...344..277Q,2015ApJ...800...99T
Kepler-223b,5821,123,123,-0.06,0.047,0.047,1.125,0.094,0.094,1.72,0.07,0.14,4.07,0.096,0.096,-1,-1,-1,7.384,0.078,0.015,0.017,-1,-1,-1,0.0233,0.0041,0.0035,0.267,0.016,0.024,-1,-1,-1,1.16,0.47,0.261,-1,-1,-1,2014ApJ...784...45R,2016Natur.533..509M
Kepler-223c,5821,123,123,-0.06,0.047,0.047,1.125,0.094,0.094,1.72,0.07,0.14,4.07,0.096,0.096,-1,-1,-1,9.848,0.15,0.019,0.051,-1,-1,-1,0.016,0.0053,0.0035,0.307,0.018,0.027,-1,-1,-1,0.54,0.25,0.151,-1,-1,-1,2014ApJ...784...45R,2016Natur.533..509M
Kepler-223d,5821,123,123,-0.06,0.047,0.047,1.125,0.094,0.094,1.72,0.07,0.14,4.07,0.096,0.096,-1,-1,-1,14.789,0.037,0.018,0.017,-1,-1,-1,0.0252,0.0047,0.0041,0.467,0.023,0.04,-1,-1,-1,0.23,0.09,0.051,-1,-1,-1,2014ApJ...784...45R,2016Natur.533..509M
Kepler-223e,5821,123,123,-0.06,0.047,0.047,1.125,0.094,0.094,1.72,0.07,0.14,4.07,0.096,0.096,-1,-1,-1,19.722,0.051,0.019,0.019,-1,-1,-1,0.0151,0.0044,0.0038,0.41,0.024,0.037,-1,-1,-1,0.21,0.09,0.061,-1,-1,-1,2014ApJ...784...45R,2016Natur.533..509M
Kepler-278b,4965,54,54,0.22,0.04,0.04,1.227,0.061,0.061,2.861,0.06,0.066,3.58,0.1,0.1,0.052,0.004,0.004,30.161,0.696,0.017,0.026,0.202,0.005,0.005,0.18,0.12,0.04,0.353,0.007,0.007,-1,-1,-1,3.8,2.4,0.8,586,19,19,2014ApJ...784...45R,arXiv:1912.10278
Kepler-278c,4965,54,54,0.22,0.04,0.04,1.227,0.061,0.061,2.861,0.06,0.066,3.58,0.1,0.1,0.052,0.004,0.004,51.079,0.616,0.015,0.023,0.287,0.007,0.007,0.11,0.03,0.07,0.292,0.006,0.006,-1,-1,-1,4.1,1.1,2.4,492,16,16,2014ApJ...784...45R,arXiv:1912.10278
Kepler-289b,5990,38,38,0.065,0.04,0.04,1.08,0.02,0.02,1,0.02,0.02,4.47,0.01,0.01,1.19,0.05,0.05,34.545,-1,-1,-1,0.21,0.01,0.01,0.023,0.021,0.021,0.192,0.009,0.009,-1,-1,-1,3.1,2.9,2.9,-1,-1,-1,2014ApJ...784...45R,2014ApJ...795..167S
Kepler-289c,5990,38,38,0.065,0.04,0.04,1.08,0.02,0.02,1,0.02,0.02,4.47,0.01,0.01,1.19,0.05,0.05,66.063,-1,-1,-1,0.33,0.02,0.02,0.013,0.003,0.003,0.239,0.015,0.015,-1,-1,-1,0.9,0.2,0.2,-1,-1,-1,2014ApJ...784...45R,2014ApJ...795..167S
Kepler-289d,5990,38,38,0.065,0.04,0.04,1.08,0.02,0.02,1,0.02,0.02,4.47,0.01,0.01,1.19,0.05,0.05,125.851,-1,-1,-1,0.51,0.03,0.03,0.415,0.053,0.053,1.034,0.017,0.017,-1,-1,-1,0.35,0.05,0.05,-1,-1,-1,2014ApJ...784...45R,2014ApJ...795..167S
Kepler-296b,3740,130,130,-0.08,0.28,0.3,0.498,0.067,0.087,0.48,0.066,0.087,4.774,0.091,0.059,4.5,2.3,1.1,10.864,-1,-1,-1,0.079,0.013,0.013,-1,-1,-1,0.144,0.026,0.024,-1,-1,-1,-1,-1,-1,-1,-1,-1,2014ApJ...784...45R,2015ApJ...809....7B
Kepler-296c,3740,130,130,-0.08,0.28,0.3,0.498,0.067,0.087,0.48,0.066,0.087,4.774,0.091,0.059,4.5,2.3,1.1,5.842,-1,-1,-1,0.0521,0.0088,0.0086,-1,-1,-1,0.178,0.029,0.029,-1,-1,-1,-1,-1,-1,-1,-1,-1,2014ApJ...784...45R,2015ApJ...809....7B
Kepler-296d,3740,130,130,-0.08,0.28,0.3,0.498,0.067,0.087,0.48,0.066,0.087,4.774,0.091,0.059,4.5,2.3,1.1,19.85,-1,-1,-1,0.118,0.02,0.02,-1,-1,-1,0.186,0.029,0.029,-1,-1,-1,-1,-1,-1,-1,-1,-1,2014ApJ...784...45R,2015ApJ...809....7B
Kepler-296e,3740,130,130,-0.08,0.28,0.3,0.498,0.067,0.087,0.48,0.066,0.087,4.774,0.091,0.059,4.5,2.3,1.1,34.142,-1,-1,-1,0.169,0.029,0.028,-1,-1,-1,0.136,0.024,0.022,-1,-1,-1,-1,-1,-1,-1,-1,-1,2014ApJ...784...45R,2015ApJ...809....7B
Kepler-296f,3740,130,130,-0.08,0.28,0.3,0.498,0.067,0.087,0.48,0.066,0.087,4.774,0.091,0.059,4.5,2.3,1.1,63.336,-1,-1,-1,0.255,0.043,0.042,-1,-1,-1,0.161,0.028,0.027,-1,-1,-1,-1,-1,-1,-1,-1,-1,2014ApJ...784...45R,2015ApJ...809....7B
Kepler-302b,5740,107,107,0.06,0.1,0.1,0.966,-1,-1,0.833,-1,-1,-1,-1,-1,-1,-1,-1,30.184,-1,-1,-1,-1,-1,-1,0.19,0.15,0.15,0.26,0.1,0.02,-1,-1,-1,-1,-1,-1,-1,-1,-1,2014ApJ...784...45R,arXiv:1807.02217
Kepler-302c,5740,107,107,0.06,0.1,0.1,0.966,-1,-1,0.833,-1,-1,-1,-1,-1,-1,-1,-1,127.282,-1,-1,-1,-1,-1,-1,2.9,1.7,1.7,0.83,0.34,0.07,-1,-1,-1,-1,-1,-1,-1,-1,-1,2014ApJ...784...45R,arXiv:1807.02217
Kepler-307b,5367,94,94,0.028,0.017,0.017,0.907,0.034,0.034,0.814,0.024,0.024,-1,-1,-1,-1,-1,-1,10.416,-1,-1,-1,-1,-1,-1,0.0234,0.0029,0.0027,0.217,0.008,0.008,-1,-1,-1,-1,-1,-1,-1,-1,-1,2014ApJS..210...25X,2016ApJ...820...39J
Kepler-307c,5367,94,94,0.028,0.017,0.017,0.907,0.034,0.034,0.814,0.024,0.024,-1,-1,-1,-1,-1,-1,13.084,-1,-1,-1,-1,-1,-1,0.0115,0.0021,0.0018,0.196,0.006,0.006,-1,-1,-1,-1,-1,-1,-1,-1,-1,2014ApJS..210...25X,2016ApJ...820...39J
Kepler-391b,5038,57,57,0.04,0.02,0.02,1.27,0.081,0.081,2.88,0.32,0.32,3.62,0.05,0.05,0.052,0.094,0.094,7.417,0,0.46,0,0.083,0.012,0.013,0,3.5,0,0.223,0.026,0.026,-1,-1,-1,0,290,0,930,37,140,2014ApJ...784...45R,arXiv:1912.10278
Kepler-391c,5038,57,57,0.04,0.02,0.02,1.27,0.081,0.081,2.88,0.32,0.32,3.62,0.05,0.05,0.052,0.094,0.094,20.485,0,0.23,0,0.164,0.026,0.022,0,1.4,0,0.257,0.029,0.029,-1,-1,-1,0,300,0,662,89,97,2014ApJ...784...45R,arXiv:1912.10278
Kepler-406b,5538,74,74,0.18,0.07,0.07,1.07,0.06,0.06,1.07,0.02,0.02,4.409,0.02,0.02,0.79,0.01,0.01,2.426,0,-1,-1,-1,-1,-1,0.02,0.004,0.004,0.128,0.003,0.003,-1,-1,-1,8.91,2.04,2.04,-1,-1,-1,2014ApJS..210...20M,2014ApJS..210...20M
Kepler-406c,5538,74,74,0.18,0.07,0.07,1.07,0.06,0.06,1.07,0.02,0.02,4.409,0.02,0.02,0.79,0.01,0.01,4.623,0,-1,-1,-1,-1,-1,0,0.019,0,0.076,0.003,0.003,-1,-1,-1,-1,-1,-1,-1,-1,-1,2014ApJS..210...20M,2014ApJS..210...20M
Kepler-407,5476,75,75,0.33,0.07,0.07,1,0.06,0.06,1.01,0.07,0.07,4.426,0.06,0.06,0.98,0.11,0.11,0.669,0,-1,-1,-1,-1,-1,0,0.01,0,0.095,0.002,0.002,-1,-1,-1,-1,-1,-1,-1,-1,-1,2014ApJS..210...20M,2014ApJS..210...20M
Kepler-408,6088,65,65,-0.138,0.043,0.042,1.05,0.04,0.04,1.253,0.051,0.051,4.318,0.08,0.089,-1,-1,-1,2.465,0,-1,-1,-1,-1,-1,-1,-1,-1,0.077,0.004,0.004,-1,-1,-1,-1,-1,-1,-1,-1,-1,2014ApJS..210...20M,arXiv:1902.02057
Kepler-409,5460,75,75,0.08,0.1,0.1,0.92,0.06,0.06,0.89,0.02,0.02,4.499,0.03,0.03,1.28,0,0,68.958,0,-1,-1,-1,-1,-1,0,0.069,0,0.106,0.003,0.003,-1,-1,-1,-1,-1,-1,-1,-1,-1,2014ApJS..210...20M,2014ApJS..210...20M
Kepler-410,6375,44,44,0.09,0.04,0.04,1.214,0.03,0.033,1.352,0.01,0.01,4.261,0.007,0.007,0.491,0.006,0.006,17.834,0.17,0.07,0.06,0.1226,0.0047,0.0047,0,-1,-1,0.2532,0.0048,0.0048,-1,-1,-1,-1,-1,-1,-1,-1,-1,2014ApJ...782...14V,2014ApJ...782...14V
Kepler-411b,4906,48,51,0.05,0.11,0.1,0.81,0.02,0.03,0.75,0.02,0.02,4.6,0.01,0.01,-1,-1,-1,3.005,0.146,0.005,0.004,0.0375,0.0008,0.0008,0.081,0.008,0.008,0.214,0.005,0.005,-1,-1,-1,7.71,0.95,0.95,1138,17,17,arXiv:1902.09719,arXiv:1902.09719
Kepler-411c,4906,48,51,0.05,0.11,0.1,0.81,0.02,0.03,0.75,0.02,0.02,4.6,0.01,0.01,-1,-1,-1,7.834,0.108,0.003,0.004,0.0739,0.001,0.001,0.083,0.019,0.019,0.394,0.006,0.006,-1,-1,-1,1.18,0.29,0.29,838,10,10,arXiv:1902.09719,arXiv:1902.09719
Kepler-411d,4906,48,51,0.05,0.11,0.1,0.81,0.02,0.03,0.75,0.02,0.02,4.6,0.01,0.01,-1,-1,-1,58.02,0.128,0.003,0.003,0.279,0.004,0.004,0.048,0.016,0.016,0.296,0.009,0.009,-1,-1,-1,1.74,0.62,0.62,410,10,10,arXiv:1902.09719,arXiv:1902.09719
Kepler-412,5750,90,90,0.27,0.12,0.12,1.167,0.091,0.091,1.287,0.035,0.035,4.3,0.07,0.07,0.547,0.018,0.018,1.721,0.0038,0.0087,0.0032,0.02959,0.00078,0.00078,0.939,0.085,0.085,1.325,0.043,0.043,-1,-1,-1,0.378,0.038,0.038,-1,-1,-1,2014A+A...564A..56D,2014A+A...564A..56D
Kepler-413,4700,-1,-1,-0.2,-1,-1,0.82,0.015,0.015,0.776,0.01,0.009,4.572,0.01,0.01,1.244,0.046,0.035,66.252,0.1181,0.0018,0.0017,0.3553,0.002,0.0018,0.21,0.07,0.07,0.379,0.009,0.009,-1,-1,-1,2.4,0.8,0.8,-1,-1,-1,2014ApJ...784...14K,2014ApJ...784...14K
Kepler-418,5820,100,100,-0.05,0.1,0.1,0.98,0.08,0.08,1.09,0.14,0.14,4.35,0.1,0.1,1.15,0.53,0.34,86.679,0.22,0.12,0.12,-1,-1,-1,0,0.88,0,1.2,0.16,0.16,-1,-1,-1,-1,-1,-1,-1,-1,-1,2014A+A...567A..14T,2014A+A...567A..14T
Kepler-419,6430,79,79,0.18,0.07,0.07,1.438,0.053,0.053,1.81,0.12,0.12,4.08,0.046,0.046,0.237,0.044,0.044,69.796,0.817,0.016,0.016,0.3745,0.0046,0.0046,2.77,0.19,0.19,1.12,0.084,0.084,53.8,8.8,7.6,1.83,0.47,0.47,-1,-1,-1,2014ApJ...791...89D,arXiv:1804.01869
Kepler-420,5520,80,80,0.27,0.09,0.09,0.99,0.05,0.05,1.13,0.14,0.14,4.32,0.1,0.1,0.7,0.25,0.25,86.648,0.772,0.045,0.045,0.382,0.006,0.006,1.45,0.35,0.35,0.94,0.12,0.12,-1,-1,-1,1.6,0.9,0.9,511,50,50,2014A+A...571A..37S,2014A+A...571A..37S
Kepler-421,5308,50,50,-0.25,0.08,0.08,0.794,0.03,0.03,0.757,0.029,0.029,4.61,0.1,0.1,1.12,0.16,0.26,704.198,0.041,0.095,0.034,1.219,0.089,0.106,-1,-1,-1,0.371,0.017,0.014,-1,-1,-1,-1,-1,-1,185,9,5,2014ApJ...795...25K,2014ApJ...795...25K
Kepler-422,5972,84,84,0.23,0.09,0.09,1.15,0.06,0.06,1.24,0.12,0.12,4.31,0.073,0.073,0.61,0.16,0.16,7.891,0,-1,-1,0.082,0.011,0.01,0.43,0.13,0.13,1.15,0.11,0.11,-1,-1,-1,0.29,0.08,0.08,-1,-1,-1,2014ApJ...795..151E,2014ApJ...795..151E
Kepler-423,5560,80,80,-0.1,0.05,0.05,0.85,0.04,0.04,0.95,0.04,0.04,4.41,0.04,0.04,0.991,0.068,0.068,2.684,0.019,0.028,0.014,0.03585,0.00052,0.00114,0.595,0.081,0.081,1.192,0.052,0.052,-1,-1,-1,0.346,0.063,0.063,1605,120,120,2015A+A...576A...1G,2015A+A...576A...1G
Kepler-424,5460,81,81,0.44,0.14,0.14,1.01,0.054,0.054,0.94,0.056,0.056,4.5,0.05,0.05,1.23,0.21,0.21,3.312,0,-1,-1,0.044,0.005,0.004,1.03,0.13,0.13,0.89,0.08,0.06,-1,-1,-1,1.46,0.19,0.19,-1,-1,-1,2014ApJ...795..151E,2014ApJ...795..151E
Kepler-425,5170,70,70,0.24,0.11,0.11,0.93,0.05,0.05,0.86,0.02,0.02,4.535,0.01,0.01,1.026,0.021,0.021,3.797,0,0.33,0,0.0464,0.0008,0.0008,0.25,0.08,0.08,0.978,0.022,0.022,-1,-1,-1,0.2,0.05,0.05,1070,15,15,2014A+A...572A..93H,2014A+A...572A..93H
Kepler-426,5725,90,90,-0.21,0.08,0.08,0.91,0.06,0.06,0.92,0.02,0.02,4.471,0.011,0.011,0.829,0.016,0.016,3.218,0,0.18,0,0.0414,0.001,0.001,0.34,0.08,0.08,1.09,0.03,0.03,-1,-1,-1,0.2,0.05,0.05,1300,20,20,2014A+A...572A..93H,2014A+A...572A..93H
Kepler-427,5800,70,70,-0.19,0.07,0.07,0.96,0.06,0.06,1.35,0.2,0.2,4.14,0.12,0.12,0.28,0.14,0.14,10.291,0,0.57,0,0.091,0.01,0.01,0.29,0.09,0.09,1.23,0.21,0.21,-1,-1,-1,0.12,0.11,0.11,1100,70,70,2014A+A...572A..93H,2014A+A...572A..93H
Kepler-428,5150,100,100,0.09,0.17,0.17,0.87,0.05,0.05,0.8,0.02,0.02,4.571,0.011,0.011,1.208,0.029,0.029,3.526,0,0.22,0,0.0433,0.0009,0.0009,1.27,0.19,0.19,1.08,0.03,0.03,-1,-1,-1,0.77,0.11,0.11,1070,25,25,2014A+A...572A..93H,2014A+A...572A..93H
Kepler-430b,5884,75,75,0.2,0.1,0.1,1.166,0.134,0.095,1.485,0.266,0.234,-1,-1,-1,-1,-1,-1,35.968,-1,-1,-1,0.2244,-1,-1,-1,-1,-1,0.29,-1,-1,-1,-1,-1,-1,-1,-1,667,-1,-1,2015AJ....149...55E,2015AJ....149...55E
Kepler-430c,5884,75,75,0.2,0.1,0.1,1.166,0.134,0.095,1.485,0.266,0.234,-1,-1,-1,-1,-1,-1,110.979,-1,-1,-1,0.4757,-1,-1,-1,-1,-1,0.156,-1,-1,-1,-1,-1,-1,-1,-1,458,-1,-1,2015AJ....149...55E,2015AJ....149...55E
Kepler-431b,6004,75,75,0.07,0.1,0.1,1.092,0.191,0.109,1.071,0.059,0.037,-1,-1,-1,-1,-1,-1,6.803,-1,-1,-1,0.0719,-1,-1,-1,-1,-1,0.068,-1,-1,-1,-1,-1,-1,-1,-1,1032,-1,-1,2015AJ....149...55E,2015AJ....149...55E
Kepler-431c,6004,75,75,0.07,0.1,0.1,1.092,0.191,0.109,1.071,0.059,0.037,-1,-1,-1,-1,-1,-1,8.703,-1,-1,-1,0.0857,-1,-1,-1,-1,-1,0.06,-1,-1,-1,-1,-1,-1,-1,-1,951,-1,-1,2015AJ....149...55E,2015AJ....149...55E
Kepler-431d,6004,75,75,0.07,0.1,0.1,1.092,0.191,0.109,1.071,0.059,0.037,-1,-1,-1,-1,-1,-1,11.922,-1,-1,-1,0.1045,-1,-1,-1,-1,-1,0.099,-1,-1,-1,-1,-1,-1,-1,-1,856,-1,-1,2015AJ....149...55E,2015AJ....149...55E
Kepler-432,5020,60,60,-0.02,0.06,0.06,1.32,0.1,0.07,4.06,0.12,0.08,3.345,0.028,0.022,0.0198,0.0004,0.0004,50.501,0.5134,0.0098,0.0089,0.301,0.016,0.011,5.41,0.32,0.18,1.145,0.036,0.039,96,11,11,3.36,0.28,0.22,942,20,20,2015A+A...573L...5C,2015ApJ...803...49Q
Kepler-433,6340,140,140,0.06,0.19,0.19,1.46,0.17,0.17,2.26,0.25,0.25,3.892,0.056,0.056,0.126,0.033,0.033,5.334,0.119,0.079,0.079,0.0679,0.0027,0.0027,2.82,0.52,0.52,1.45,0.16,0.16,33,5.9,6.8,0.85,0.24,0.24,1776,87,87,2015A+A...575A..71A,2015A+A...575A..71A
Kepler-434,5970,100,100,0.35,0.15,0.15,1.198,0.093,0.093,1.38,0.13,0.13,4.242,0.055,0.055,0.46,0.11,0.11,12.875,0.131,0.072,0.072,0.1143,0.003,0.003,2.86,0.35,0.35,1.13,0.26,0.18,55,19,23,1.8,1,1,1000,45,45,2015A+A...575A..71A,2015A+A...575A..71A
Kepler-435,6090,110,110,-0.17,0.1,0.1,1.538,0.088,0.088,3.21,0.3,0.3,3.613,0.047,0.07,0.047,0.011,0.011,8.6,0.114,0.077,0.077,0.0948,0.0018,0.0018,0.84,0.15,0.15,1.99,0.18,0.18,5.3,1.5,1.2,0.099,0.028,0.028,1729,70,70,2015A+A...575A..71A,2015A+A...575A..71A
Kepler-436b,4651,100,100,0.01,0.1,0.1,0.729,0.033,0.029,0.697,0.028,0.023,4.619,0.015,0.028,2.15,0.17,0.18,64.002,0.19,0.13,0.11,0.339,0.134,0.053,-1,-1,-1,0.244,0.021,0.021,-1,-1,-1,-1,-1,-1,-1,-1,-1,2015ApJ...800...99T,2015ApJ...800...99T
Kepler-437b,4551,100,100,0,0.1,0.1,0.707,0.033,0.027,0.68,0.026,0.024,4.629,0.015,0.026,2.25,0.18,0.18,66.651,0.02,0.08,0.02,0.288,0.066,0.04,-1,-1,-1,0.191,0.02,0.015,-1,-1,-1,-1,-1,-1,-1,-1,-1,2015ApJ...800...99T,2015ApJ...800...99T
Kepler-438b,3748,112,112,0.16,0.14,0.14,0.544,0.041,0.061,0.52,0.038,0.061,4.74,0.059,0.029,3.91,1.08,0.55,35.233,0.03,0.1,0.03,0.166,0.051,0.042,-1,-1,-1,0.1,0.014,0.015,-1,-1,-1,-1,-1,-1,-1,-1,-1,2015ApJ...800...99T,2015ApJ...800...99T
